record_id,classification,resource_type,resource_id,fingerprint_md5,clinical_audit_set_fingerprint
10d747e0-1f29-4e85-9254-74c7df2e5485,clinical_delete_target,research_subject,d6aff8fc-6c9d-44a3-b1ce-b4c6bfd9f720,a9ba8d57a80efeda7abc6364f0c9d70e,310e78840b955e3ca6e75eb03f0c66c8
10dba806-6c9c-4d9b-89dd-a432f8848a74,clinical_delete_target,quality_assessment_queue_item,f8a9bb5b-4534-4393-b9a7-a497fe18e513,de6bc87bfaef07744f1e4e5cd554c780,310e78840b955e3ca6e75eb03f0c66c8
11529cb7-49d9-422e-b372-917700b976f1,clinical_delete_target,cell_prediction,7898c77b-6156-44b4-a0de-411e518d883a,be765646238539934c51a32980f8b57e,310e78840b955e3ca6e75eb03f0c66c8
11894447-e3be-494c-bd8b-05cbdc70e89f,clinical_delete_target,microscopy_analysis_run,1c49de91-f3ba-4794-8cbd-62bc966049c5,e4bc1fe9afe528d5c913565f367a604b,310e78840b955e3ca6e75eb03f0c66c8
11a21bfe-8cac-4305-9ff2-7fb1ad183251,clinical_delete_target,cell_classification_run,df5cff74-455c-4424-8609-e18afd6f1657,e37a69735b8a5b2a184b8cd42233f1c7,310e78840b955e3ca6e75eb03f0c66c8
129a043d-37bb-479e-8ceb-3c760c0c2de2,clinical_delete_target,smear_slide,4a6bc950-75f8-49f9-b640-69e78792792d,160ac59b0ffc4b778661da1776eb221d,310e78840b955e3ca6e75eb03f0c66c8
12aa9f0c-4c79-4802-a26d-6aef439e53ab,clinical_delete_target,cell_classification_run,df5cff74-455c-4424-8609-e18afd6f1657,3be9ed4925c26fb63248b5b803097dc5,310e78840b955e3ca6e75eb03f0c66c8
12ce4650-1122-48e1-8a63-4163ff8b5f57,clinical_delete_target,microscopy_image,e4296ff7-9e31-4bd9-8593-2615946bcceb,eebe033493c51087c3dbaa3d7b51e294,310e78840b955e3ca6e75eb03f0c66c8
1548af51-eb1f-46b3-a16f-85b53c27f890,clinical_delete_target,quality_assessment_queue_item,c94a1560-76b3-4edf-ba0d-4aee0dd58431,9ec93b40d51fa63335b946fd082b91fd,310e78840b955e3ca6e75eb03f0c66c8
1563a973-e40c-4d6b-8a08-a6323b63cffd,clinical_delete_target,cell_detection_run,de773a50-b182-4ed9-9bdc-3f6f65bf242d,de13c2ce0c32d1710f98ab25a00e31b0,310e78840b955e3ca6e75eb03f0c66c8
15ced4c6-91b7-4916-9b2b-cd42a8bb520d,clinical_delete_target,research_subject,2706b144-44cb-41d6-a802-9d5ae313d294,a94bb29beb34c5f51071395863633848,310e78840b955e3ca6e75eb03f0c66c8
15d14e8c-7ed5-4149-8e5f-25224356d880,clinical_delete_target,quality_assessment_queue_item,72d0be37-aa41-46a6-aa8b-8090805831b7,0a3ec7bf03d8a466a8d08f8593d07030,310e78840b955e3ca6e75eb03f0c66c8
160cafe8-18eb-4a72-adeb-5e7ef9572564,clinical_delete_target,cell_detection_run,c5ca90cc-e321-4501-82f3-a2e0ef0f51a7,b6eb994cccb3b5b18d70d76ee3d8b935,310e78840b955e3ca6e75eb03f0c66c8
1611116b-c137-4063-8eb4-ba8366ddd6b5,clinical_delete_target,cell_prediction,b00dd696-32ee-4227-853d-b028e8efc010,999fbd65ec5a5066c7427c4b19afa06c,310e78840b955e3ca6e75eb03f0c66c8
16d4fdd7-9ca0-4dd2-8812-c78da3af1b7b,clinical_delete_target,cell_detection_run,151ee7ee-b609-4e6b-985c-04af59a85470,22d740e8d2f5ea5746c92afac1779b60,310e78840b955e3ca6e75eb03f0c66c8
17020d63-05d6-4a94-8919-b9f0b2ad186b,clinical_delete_target,cell_detection_run,ed18ce4e-6fb0-4f1f-b313-c9d76617210c,777f001a450cbb3333143cd4599b430b,310e78840b955e3ca6e75eb03f0c66c8
1727b47c-5574-4540-93bf-30d81de2b9ea,clinical_delete_target,microscopy_image,6a4c1def-59d7-4111-8a64-9cfb8e00ba8f,234ef3a19fd269754b00eef41a507ffe,310e78840b955e3ca6e75eb03f0c66c8
1797156e-dd5b-4ac1-9577-60f52eab79f6,clinical_delete_target,image_ingestion_batch,98f857ec-a3da-451a-9c47-b4f08d5a0105,5182e44ea74a6cf60110493b5498acf2,310e78840b955e3ca6e75eb03f0c66c8
17b72588-2af4-4db0-b268-9ab6d1dce410,clinical_delete_target,cell_detection_run,f5668b77-a7c4-4ed2-aade-94bbf92900cf,b7207d26b75dc855f3f3141d351ef189,310e78840b955e3ca6e75eb03f0c66c8
17ecab92-4a33-4565-9efe-6f59c0ba1621,clinical_delete_target,cell_detection_run,50b0884e-ddde-4252-be9d-058151c986c4,002c4ebd31eb32aa66c6dada966cc757,310e78840b955e3ca6e75eb03f0c66c8
180f7ce2-b56a-4156-9abb-842c9aa49f98,clinical_delete_target,cell_classification_run,b64719fa-1dcd-44a0-9de7-4063fe9c1434,86647e23d4075444923d270efd3d7366,310e78840b955e3ca6e75eb03f0c66c8
185ea44f-bedf-4c29-a691-1aed0414f2a1,clinical_delete_target,quality_assessment_queue_item,1800af87-17f3-4810-b813-c2b401bac769,1e8b9e8318ce282c7fc2217a1cc0f84f,310e78840b955e3ca6e75eb03f0c66c8
193c8a60-3f82-4a55-94c2-27dbbdfabdca,clinical_delete_target,image_ingestion_batch,0ce2cc0f-774f-4283-8a9d-28dbfd751d86,05851a36d668ba8c383795b4402f2f03,310e78840b955e3ca6e75eb03f0c66c8
19c74ec9-b6a8-40e6-9586-0ebb999b2e7c,clinical_delete_target,quality_assessment_queue_item,9f1f6a97-b581-426a-9508-a8c73571140f,93cd4235460366bafc361d4b2621345b,310e78840b955e3ca6e75eb03f0c66c8
19c81087-a994-4d4a-b4f1-fc0c93f7352e,clinical_delete_target,microscopy_analysis_run,211b65b9-8b1b-4bc9-bf8e-2572a00a3ecd,f0b20e0618c5dcec8cef7c6520c9108a,310e78840b955e3ca6e75eb03f0c66c8
1a279b48-0f9e-4b25-8d77-1bf08d737121,clinical_delete_target,microscopy_analysis_run,5d9ca4e3-60b1-4a9f-aba0-8a5edd13510a,2e4b522b015fac2e38686bfd00e433b7,310e78840b955e3ca6e75eb03f0c66c8
1a31fcdc-c53d-40d7-8a63-9eeddbf094dc,clinical_delete_target,cell_classification_run,919d8a37-3b45-41b2-adb7-28aba7807bfa,a93b1cd91373a9bd7a75e9aabcfff8c0,310e78840b955e3ca6e75eb03f0c66c8
