source_table,record_id,storage_column,storage_key,expected_size,expected_sha256,clinical_entity_type
cell_crops,0583651a-d705-4377-891f-cda2514c4be4,relative_storage_key,cell-crops/8b912699-0346-4eca-9a3f-992922f65702/c5ca90cc-e321-4501-82f3-a2e0ef0f51a7/51a1e5c5-fac7-4ab5-b6dd-bef48d583434/aad96c8d-d421-42cd-a0d1-608b56fca422/crop.png,5101,388fa8ca6bc76cb872623267e364c788e30de90c3c2b3b610569245c1b5cd9e0,cell_crops
cell_crops,0593fe58-295f-4c15-9099-e026fec719eb,relative_storage_key,cell-crops/72906de0-83a0-4e98-940e-735fe5fb2363/c3c7a47a-b9d7-41c8-a8db-3269a23bca95/452e4d39-1e65-4a32-8a6a-e88382ac7aa6/01b599da-0036-46ae-84a7-53fae8929180/crop.png,4041,cf831cbab261cee14f328a9b376509a4153121ab6527a0e92ecbb9af8256b17c,cell_crops
cell_crops,05a7467e-45c5-4951-8d2c-20a76d20679f,relative_storage_key,cell-crops/8b912699-0346-4eca-9a3f-992922f65702/c5ca90cc-e321-4501-82f3-a2e0ef0f51a7/51a1e5c5-fac7-4ab5-b6dd-bef48d583434/c56ecc00-e89f-4aec-8b9f-64ec7670bf27/crop.png,3968,96be048f8d6a06f7b101428982e8eb5e4ef037c1b4862857abdb2fa31704b1bd,cell_crops
cell_crops,05ad3df1-9c6c-4450-8516-d3d0717795d5,relative_storage_key,cell-crops/05b33155-8921-4eb9-9920-af67decfe454/6278de2c-44dd-4a75-aca2-9708e58437ba/92e2e64a-1c82-402b-b24d-75d43d50a17f/0d344d59-4329-4d37-b841-5f3febf31ed4/crop.png,5786,9556c94c7aeb09f679c0aab84d8a72eb5082432024b8eae6ed538e5d50f3ad1d,cell_crops
cell_crops,05d807ae-7057-41f1-9488-b9de8b512b4c,relative_storage_key,cell-crops/52c4864d-1788-41db-a1d2-883ce7d83a58/490887fa-b3af-4136-85dc-8ae66e413acd/bf339bce-cffa-48e9-a044-4b9df2cc36b4/78218308-27b5-4750-8a96-8a107cbaf3c4/crop.png,8897,cee31204a5719cd91ed9fe845db1ee873f6bd1c51cb3ff0e18bbac84d5fbc597,cell_crops
cell_crops,05f7c26e-e3d7-489d-b96c-d0c7e5685479,relative_storage_key,cell-crops/54e278de-2381-4a05-8faa-42bf761f6688/50b0884e-ddde-4252-be9d-058151c986c4/f4400105-33b9-4bc0-860b-010b1cf3d386/a4c1034b-66b7-4b8c-94d8-f7bfe079efdd/crop.png,1635,0f5a9bc80bac1d2b81c491e1679dbedf4508d9c607c15a123ddc41a21509fc12,cell_crops
cell_crops,0636f76d-6782-495d-b7ae-ef8635a35f52,relative_storage_key,cell-crops/7ef7cff8-899e-428e-b89a-36803c0575b3/04bafb48-259f-4626-82fb-a3359ee3160b/26ddb17b-1b89-4301-8f40-011ccf0f40dc/1ac9820d-b4a6-4976-b4c9-ccbf1b03d8b0/crop.png,3457,42f36c10fad04497689c545fd43747919ca3290bcc8a8f558ae96c99ce4814e6,cell_crops
cell_crops,06446c70-f002-4363-b168-249975c74296,relative_storage_key,cell-crops/b0a5839c-3668-4411-b590-cc1d8fed470e/bf423fe1-2fc5-4662-9eda-ff1496c1bba9/c2a6cffd-18de-474e-ba04-2bf65b0f4f8c/d19e1deb-017a-47a5-8d35-04d8eec67a75/crop.png,2580,bb544d1da35fb955a21ee9a3671b64c22df45b90237d4c6fc45b308601fdea4b,cell_crops
cell_crops,064b8272-5eb8-4b32-ac6c-770528b00476,relative_storage_key,cell-crops/121a69bf-ba23-4014-892b-158b9c2b71a4/aa1323a6-7f80-4e1e-819a-ec182f045f3d/97fb12a0-df7f-455f-8e13-e0383ad3934d/06b0b56c-efc0-4055-b600-483165db5598/crop.png,35228,2d3346e28db2cbbd73cca065355d08ba6b4e97ecb104f60ac671e8c5f0e70426,cell_crops
cell_crops,0658124c-9c54-495c-a1e7-5cc45d49e0e5,relative_storage_key,cell-crops/3a33d13c-ff5b-46ba-94b4-0710e5185301/a78dd7b0-8ddc-4cd7-bc5a-241f8b427de6/7ba97fb6-e951-4c3b-93d8-3958918f513f/1eb4461e-1b16-447b-9f71-b86a712a36ad/crop.png,3979,07694ad338b1bbdb8341833011ce1015fb784a57998af1a6320b57c28226c432,cell_crops
cell_crops,0673c694-7125-42bc-8445-3dc1351fda53,relative_storage_key,cell-crops/54e278de-2381-4a05-8faa-42bf761f6688/50b0884e-ddde-4252-be9d-058151c986c4/f4400105-33b9-4bc0-860b-010b1cf3d386/d6961222-cb95-4c63-9f07-ca9522a23a0a/crop.png,1411,ef8b77d1e68450c557d33eaaf468bc9bdd0c719473eded5a13a113897b96347f,cell_crops
cell_crops,069357a3-8adb-405e-956a-40443e030f0c,relative_storage_key,cell-crops/e11b10f7-d1c3-4d6a-9e69-a4b6bc1abc46/1db1a505-3eaf-456d-b123-7b9f8ee77762/339d62a6-0363-472b-b2e3-4a7befd2c42f/0aed7134-14a0-4734-a7f2-7874ea1fef36/crop.png,2948,0a19c77536e10b477ae1b8bc4954bffad4c667ace298d1c533c0dc269ff138fa,cell_crops
cell_crops,069a9a3d-cb6a-4691-a26f-4b74c15cadc0,relative_storage_key,cell-crops/07c71166-93b3-415e-b764-6ca7344238f6/151ee7ee-b609-4e6b-985c-04af59a85470/9c45439d-fd87-46c3-944a-439ab92cbf89/5ebb06bd-ca86-444e-b0f1-cfd11ad24064/crop.png,12515,b31b5d148ac3753b4d4e7b5314bb99e4f9df4fee0732ddfe6a9d405738521be2,cell_crops
cell_crops,06d146bb-ceb9-4a7d-9139-88742d9e1ac7,relative_storage_key,cell-crops/fce4a23b-7725-4c69-960b-5c9cd9b68f50/c6ecf996-e832-44ad-89bf-2ca55d1d46d5/5ecbdf28-e01c-4b51-ae7b-f9d88c6b9aa5/7973a4d5-4b95-49a8-836d-bf0cbd598ade/crop.png,1821,14ec9426fa4dc4a9173a4460f3d1866a300b4129acf7ad4ef1f335ee85830ee8,cell_crops
cell_crops,06d5064f-3b2c-48b7-9b19-4d990df22c46,relative_storage_key,cell-crops/4e1ca921-c5c6-4d89-b035-2d7dd99040d5/b9f975b3-7cd8-4b9a-a2cc-1bd9a76d924c/dc6df3c3-f03e-4261-bd4c-a2df5e0f0d88/79395308-3820-4fca-a436-f323d26b6971/crop.png,7762,1ca7326ba0df6893b1ff87440df9df872fc0c0abc1a06bf5a875b9ac793c09f7,cell_crops
cell_crops,06fe176d-6697-4aca-912c-ed5d633411b7,relative_storage_key,cell-crops/ba5fc281-07c1-46ca-8091-0c13e6753aa4/d33fb4ff-3366-4fff-9806-8ab03314dbd1/18b27447-aed7-42fa-9142-4bab96366973/6a6d03bd-a27a-4b64-a11c-296939271988/crop.png,6083,7d5b6248196949ff83eb5603d99be9871fa06bc485f4e113dfe7459d5ca6de86,cell_crops
cell_crops,070f24ad-8ea6-4ff8-900b-3d662c56b716,relative_storage_key,cell-crops/54e278de-2381-4a05-8faa-42bf761f6688/50b0884e-ddde-4252-be9d-058151c986c4/f4400105-33b9-4bc0-860b-010b1cf3d386/63a249ad-9f87-4927-aea8-69b37a6ba06a/crop.png,2355,bea9257db697d8be57fd38616d6d98347d9615492661e67c471ddfe0d4f5e801,cell_crops
cell_crops,072b33d6-45af-4124-820d-f63c01f70367,relative_storage_key,cell-crops/5ad2e702-acee-4f0a-9a01-8a2ba6b24733/1abc6f5a-ce2e-4d43-a7b2-9323cf7efa1c/13514ba4-7c6f-40a0-a6d6-573684da9510/f6e3764a-09c1-4312-a7fe-1870164c78c2/crop.png,10265,86a2792feeea8a95a0eab1ee765aa7cc1ed0440c72d97ab3d6615627ec4f54e3,cell_crops
cell_crops,077b1a97-3474-4571-b4b0-308018b581de,relative_storage_key,cell-crops/211b65b9-8b1b-4bc9-bf8e-2572a00a3ecd/85d8a71e-e9ed-4062-a036-52e42dd89720/83b0bdb6-4441-49e8-b6a7-4de634e8d548/cfb7a96a-b53b-4547-8948-fa502fbb5589/crop.png,1686,353211f10bd3759eb9c048de76a2fe68cb373e4584c6b424155e10c0a099c8bb,cell_crops
